Author ID,Author Name,Author Email,Street Address,zipcode
237,Lurlene McDaniel,LurleneMcDaniel@gmail.com,66503 Kim Avenue,20011
238,John Darnton,JohnDarnton@gmail.com,3784 Morrow Street,04493
239,Martin Schenk,MartinSchenk@gmail.com,1 Warrior Plaza,09543
240,DAVID EDDINGS,DAVIDEDDINGS@gmail.com,7 Rowland Crossing,12836
241,Paul Reiser,PaulReiser@gmail.com,60 Kipling Center,01152
242,David G. Hartwell,DavidHartwell@gmail.com,3 Schlimgen Pass,67734
243,Dave Barry,DaveBarry@gmail.com,51 Eggendart Court,01225
244,John R. Holt,JohnHolt@gmail.com,9 Rigney Way,48054
245,Theodore Beale,TheodoreBeale@gmail.com,49 Fair Oaks Terrace,34697
246,Frank M. Robinson,FrankRobinson@gmail.com,6757 8th Street,49685
247,Mary Jane Clark,MaryJaneClark@gmail.com,8 Old Shore Terrace,43045
248,Mary Wollstonecraft Shelley,MaryWollstonecraftShelley@gmail.com,85 Heath Center,57794
249,Robert Westall,RobertWestall@gmail.com,6 Darwin Hill,85671
250,Robert B. Parker,RobertParker@gmail.com,40 Hintze Park,85085
251,Rita Chapman Works,RitaChapmanWorks@gmail.com,5858 Mccormick Drive,83429
252,A. Manette Ansay,ManetteAnsay@gmail.com,25234 Roth Center,54859
253,Sarah Waters,SarahWaters@gmail.com,32 Thackeray Center,43543
254,Anne Frank,AnneFrank@gmail.com,0645 Debra Place,30205
255,Barry Lopez,BarryLopez@gmail.com,93452 Loomis Terrace,75941
256,Greg Palast,GregPalast@gmail.com,9219 Del Mar Circle,58440
257,Andrea Kane,AndreaKane@gmail.com,9574 Arizona Lane,39737
258,Nevada Barr,NevadaBarr@gmail.com,09 Lighthouse Bay Place,18927
259,Margaret Maron,MargaretMaron@gmail.com,18 Bluestem Lane,31997
260,John Irving,JohnIrving@gmail.com,56 Express Road,95116
261,Golding,Golding@gmail.com,459 Michigan Trail,14028
262,HarperReference,HarperReference@gmail.com,6205 Oriole Drive,07006
263,LTD,LTD@gmail.com,366 Lighthouse Bay Alley,35042
264,Ann Patchett,AnnPatchett@gmail.com,802 Brickson Park Alley,59261
265,Roald Dahl,RoaldDahl@gmail.com,4914 Beilfuss Park,91401
266,Sue Monk Kidd,SueMonkKidd@gmail.com,7 David Street,27954
267,Colleen McCullough,ColleenMcCullough@gmail.com,741 Redwing Park,89004
268,Joanne Harris,JoanneHarris@gmail.com,4349 Hayes Way,47227
269,Thomas Cahill,ThomasCahill@gmail.com,56839 Reindahl Plaza,20406
270,Michael Hudson,MichaelHudson@gmail.com,439 Bayside Center,49327
271,Jane Smiley,JaneSmiley@gmail.com,003 Veith Road,02816
272,Dick Francis,DickFrancis@gmail.com,4254 Dapin Place,12858
273,Nora Roberts,NoraRoberts@gmail.com,57 Hudson Alley,37996
274,Jean Marzollo,JeanMarzollo@gmail.com,71 Parkside Way,74545
275,Walter Wick,WalterWick@gmail.com,4722 Novick Point,39061
276,Barbara Delinsky,BarbaraDelinsky@gmail.com,240 Logan Hill,76464
277,P. D. James,James@gmail.com,49633 Shoshone Road,92515
278,Christopher Rice,ChristopherRice@gmail.com,1 Monterey Trail,52767
279,Rex Stout,RexStout@gmail.com,10508 Ohio Road,63565
280,Joan Anderson,JoanAnderson@gmail.com,67526 Towne Pass,17820
281,Vance Havner,VanceHavner@gmail.com,11 Lien Street,17699
282,Warren W. Wiersbe,WarrenWiersbe@gmail.com,39 Fair Oaks Trail,01509
283,Max Lucado,MaxLucado@gmail.com,212 Messerschmidt Avenue,04646
284,Lawrence J Crabb,LawrenceCrabb@gmail.com,998 Corben Way,10931
285,Barry Neil Kaufman,BarryNeilKaufman@gmail.com,0608 Dawn Plaza,24918
286,Bob Sjogren,BobSjogren@gmail.com,27768 Veith Court,23316
287,Neal Pirolo,NealPirolo@gmail.com,1239 Manley Trail,12513
288,William Sleator,WilliamSleator@gmail.com,9 Lake View Trail,39552
289,Antoine de Saint-Exup̩ry,Antoine@gmail.com,2720 Bellgrove Court,75709
290,Richard Bach,RichardBach@gmail.com,998 Division Terrace,46996
291,Kevin Sullivan,KevinSullivan@gmail.com,00 Twin Pines Avenue,01590
292,Michele Morgan,MicheleMorgan@gmail.com,1 Rusk Circle,85925
293,David Allen Hulse,DavidAllenHulse@gmail.com,552 Darwin Terrace,32238
294,Richard Webster,RichardWebster@gmail.com,88404 Colorado Way,26146
295,Bernard King,BernardKing@gmail.com,58337 Sutteridge Parkway,78360
296,Pat Hutchins,PatHutchins@gmail.com,8 Merchant Avenue,33672
297,William Shakespeare,WilliamShakespeare@gmail.com,858 Sachs Terrace,04434
298,Melissa McClone,MelissaMcClone@gmail.com,3670 Butterfield Court,14225
299,Cheryl St. John,CherylJohn@gmail.com,4327 Delladonna Circle,97470
300,Lewis Carroll,LewisCarroll@gmail.com,98280 Arkansas Alley,87041
301,Mark Twain,MarkTwain@gmail.com,524 Ramsey Terrace,38572
302,Dog Mary Crow,DogMaryCrow@gmail.com,203 Dahle Alley,70437
303,Linda Gordon,LindaGordon@gmail.com,56 Orin Alley,40383
304,Florence King,FlorenceKing@gmail.com,99242 Mandrake Place,39347
305,Alice Sebold,AliceSebold@gmail.com,6 Redwing Avenue,09237
306,Spalding Gray,SpaldingGray@gmail.com,5 Vernon Road,71291
307,Thomas Harris,ThomasHarris@gmail.com,31 Delladonna Center,83012
308,EDWARD RUTHERFURD,EDWARDRUTHERFURD@gmail.com,6018 Leroy Terrace,83420
309,Margaret Atwood,MargaretAtwood@gmail.com,90 Buell Court,25724
310,Dorothy Allison,DorothyAllison@gmail.com,51 4th Court,77665
311,MAYA ANGELOU,MAYAANGELOU@gmail.com,8979 Arizona Center,25972
312,Edith Wharton,EdithWharton@gmail.com,47 Kensington Court,71120
313,Mary Brave Bird,MaryBraveBird@gmail.com,3 North Trail,27214
314,John G. Neihardt,JohnNeihardt@gmail.com,3353 Katie Plaza,53206
315,James McCourt,JamesMcCourt@gmail.com,5 Evergreen Pass,39337
316,Bill Bradley,BillBradley@gmail.com,7428 Roth Avenue,92332
317,Don Miguel Ruiz,DonMiguelRuiz@gmail.com,8586 Donald Street,37605
318,Elena Castedo,ElenaCastedo@gmail.com,1822 Victoria Avenue,18403
319,Ferran Torrent,FerranTorrent@gmail.com,2532 Luster Point,79370
320,Carmen Rico-Godoy,Carmen@gmail.com,20910 Superior Trail,06606
321,Paul Lester,PaulLester@gmail.com,96 Lindbergh Circle,38258
322,Leo Tolstoy,LeoTolstoy@gmail.com,30 Erie Park,05731
323,Robert A Johnson,RobertJohnson@gmail.com,19 Lakewood Circle,05648
324,Stephanie Maze,StephanieMaze@gmail.com,543 3rd Place,53188
325,Sandra Dallas,SandraDallas@gmail.com,72796 Gina Pass,62856
326,Anne McCaffrey,AnneMcCaffrey@gmail.com,0 Montana Drive,46156
327,David Gemmell,DavidGemmell@gmail.com,40465 Jana Street,56681
328,Laura Zigman,LauraZigman@gmail.com,36 Dayton Way,21601
329,Margaret Truman,MargaretTruman@gmail.com,6 Golf Avenue,03222
330,Paula Danziger,PaulaDanziger@gmail.com,54897 Heffernan Point,72623
331,Richard A. Lupoff,RichardLupoff@gmail.com,1 Troy Circle,45849
332,Carrie Bebris,CarrieBebris@gmail.com,139 Debs Street,36135
333,Ellen Carol Dubois,EllenCarolDubois@gmail.com,359 Sutherland Road,30219
334,Sam Bobrick,SamBobrick@gmail.com,5382 Mccormick Trail,56650
335,Donna K Grosvenor,DonnaGrosvenor@gmail.com,33871 Lake View Road,75599
336,NATHANIEL HAWTHORNE,NATHANIELHAWTHORNE@gmail.com,882 Ilene Center,10543
337,Valerie Block,ValerieBlock@gmail.com,71336 Raven Drive,47851
338,Luanne Rice,LuanneRice@gmail.com,525 Burrows Alley,76539
339,Ellen Gilchrist,EllenGilchrist@gmail.com,02 Northview Crossing,07004
340,JOHN IRVING,JOHNIRVING@gmail.com,3 Randy Crossing,92211
341,TIM GAUTREAUX,TIMGAUTREAUX@gmail.com,72424 Raven Hill,36446
342,Richard Russo,RichardRusso@gmail.com,24351 Comanche Parkway,20230
343,Jostein Gaarder,JosteinGaarder@gmail.com,4 Schurz Hill,46740
344,ANNA QUINDLEN,ANNAQUINDLEN@gmail.com,04061 Waubesa Terrace,55037
345,Diane Johnson,DianeJohnson@gmail.com,41586 Warrior Crossing,61447
346,DEAN KOONTZ,DEANKOONTZ@gmail.com,39396 Division Pass,38044
347,Wally Lamb,WallyLamb@gmail.com,0789 Raven Road,98030
348,Adeline Yen Mah,AdelineYenMah@gmail.com,38405 Ramsey Hill,27298
349,Barbara Ehrenreich,BarbaraEhrenreich@gmail.com,6405 Morning Crossing,64156
350,DOROTHY DUNNETT,DOROTHYDUNNETT@gmail.com,8868 Graceland Circle,62639
351,JOHN LE CARRE,JOHNCARRE@gmail.com,7247 Ridge Oak Road,15034
352,Emily Dickinson,EmilyDickinson@gmail.com,2 Fallview Pass,72938
353,Joseph Girzone,JosephGirzone@gmail.com,534 Pennsylvania Point,22469
354,JOSEPH GIRZONE,JOSEPHGIRZONE@gmail.com,78 Twin Pines Terrace,30161
355,Lorraine Anderson,LorraineAnderson@gmail.com,857 Moose Junction,30563
356,AD HUDLER,HUDLER@gmail.com,1870 Loftsgordon Way,64999
357,Ted L. Nancy,TedNancy@gmail.com,74332 Scoville Lane,04930
358,Francis Wheen,FrancisWheen@gmail.com,32 Gale Place,73719
